row,contract_status,level,category,contract_code,contract_name,planning_code,planning_name,dev_rr,zerost_rr,opinion,client_feedback,extra_opinion,extracted_codes
753,1,1,[기획] D04-수업관리,,,CLS-12,대기열 관리 (만석 수업 자리 배분),Z,,,,,CLS-12
754,,2,[기획] D04-수업관리,,,CLS-12-01,수업 선택,Z,,,,,CLS-12-01
755,,2,[기획] D04-수업관리,,,CLS-12-02,대기자 목록,Z,,,,,CLS-12-02
756,,2,[기획] D04-수업관리,,,CLS-12-03,자동 배정,Z,,,,,CLS-12-03
757,,2,[기획] D04-수업관리,,,CLS-12-04,수동 배정,Z,,,,,CLS-12-04
758,,2,[기획] D04-수업관리,,,CLS-12-05,대기 취소,Z,,,,,CLS-12-05
759,,2,[기획] D04-수업관리,,,CLS-12-06,알림 발송,Z,,,,,CLS-12-06
760,,2,[기획] D04-수업관리,,,CLS-12-07,순번 조정,Z,,,,,CLS-12-07
761,2,1,[기획] D05-상품관리,,,PRD-04,할인 설정 (정률·정액 + 변경 이력),Z,,,,,PRD-04
762,,2,[기획] D05-상품관리,,,PRD-04-01,할인 목록,Z,,,,,PRD-04-01
763,,2,[기획] D05-상품관리,,,PRD-04-02,할인 추가,Z,,,,,PRD-04-02
764,,2,[기획] D05-상품관리,,,PRD-04-03,할인 수정,Z,,,,,PRD-04-03
765,,2,[기획] D05-상품관리,,,PRD-04-04,할인 삭제,Z,,,,,PRD-04-04
766,,2,[기획] D05-상품관리,,,PRD-04-05,변경 이력,Z,,,,,PRD-04-05
767,,2,[기획] D05-상품관리,,,PRD-04-06,활성/비활성,Z,,,,,PRD-04-06
768,,2,[기획] D05-상품관리,,,PRD-04-07,자동 적용,Z,,,,,PRD-04-07
769,,1,[기획] D05-상품관리,,,PRD-08,시즌 가격 관리 (기간 한정 특별가),Z,,,,,PRD-08
770,,2,[기획] D05-상품관리,,,PRD-08-01,시즌 특가 목록,Z,,,,,PRD-08-01
771,,2,[기획] D05-상품관리,,,PRD-08-02,달력 뷰,Z,,,,,PRD-08-02
772,,2,[기획] D05-상품관리,,,PRD-08-03,시즌 특가 등록,Z,,,,,PRD-08-03
773,,2,[기획] D05-상품관리,,,PRD-08-04,시즌 특가 수정,Z,,,,,PRD-08-04
774,,2,[기획] D05-상품관리,,,PRD-08-05,시즌 특가 삭제,Z,,,,,PRD-08-05
775,,2,[기획] D05-상품관리,,,PRD-08-06,자동 적용,Z,,,,,PRD-08-06
776,,2,[기획] D05-상품관리,,,PRD-08-07,중복 검증,Z,,,,,PRD-08-07
777,,2,[기획] D05-상품관리,,,PRD-08-08,카탈로그 / 키오스크 강조,Z,,,,,PRD-08-08
778,3,1,[기획] D06-시설관리,,,FAC-01,락커 관리 (구역 그리드 + 일괄 처리),"Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-01
779,,2,[기획] D06-시설관리,,,FAC-01-01,현황 요약 카드,Z,,,,,FAC-01-01
780,,2,[기획] D06-시설관리,,,FAC-01-02,구역 탭,Z,,,,,FAC-01-02
781,,2,[기획] D06-시설관리,,,FAC-01-03,그리드,Z,,,,,FAC-01-03
782,,2,[기획] D06-시설관리,,,FAC-01-04,검색,Z,,,,,FAC-01-04
783,,2,[기획] D06-시설관리,,,FAC-01-05,개별 배정,Z,,,,,FAC-01-05
784,,2,[기획] D06-시설관리,,,FAC-01-06,회수,Z,,,,,FAC-01-06
785,,2,[기획] D06-시설관리,,,FAC-01-07,이동,Z,,,,,FAC-01-07
786,,2,[기획] D06-시설관리,,,FAC-01-08,고장 처리,Z,,,,,FAC-01-08
787,,2,[기획] D06-시설관리,,,FAC-01-09,기록 조회,Z,,,,,FAC-01-09
788,,2,[기획] D06-시설관리,,,FAC-01-10,일괄 해제,Z,,,,,FAC-01-10
789,,2,[기획] D06-시설관리,,,FAC-01-11,일괄 배정,Z,,,,,FAC-01-11
790,,2,[기획] D06-시설관리,,,FAC-01-12,엑셀 다운로드,Z,,,,,FAC-01-12
791,,1,[기획] D06-시설관리,,,FAC-EXT-01,"옷 락커 / 고정 물품 락커 (분리 운영)
> 락커 관리 상세","Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-EXT-01
792,,2,[기획] D06-시설관리,,,FAC-EXT-01-01,"락커 유형 탭
(일일 락커 / 고정용 유료 락커 / 골프 락커 / 골프 고정용 유료 락커)",Z,,,,,FAC-EXT-01-01
793,,2,[기획] D06-시설관리,,,FAC-EXT-01-02,"락커 배정·회수 운영
(회원 배정, 회수, 만료, 일괄 해제 등 공통 운영)",Z,,,,,FAC-EXT-01-02
794,,2,[기획] D06-시설관리,,,FAC-EXT-01-03,"유료·계약 락커 운영
(상품 결제, 기간 연장, 만료 예정, 회수 대기)",Z,,,,,FAC-EXT-01-03
795,,2,[기획] D06-시설관리,,,FAC-EXT-01-04,"검색 / 필터
(락커 번호, 회원, 유형, 상태 필터)",Z,,,,,FAC-EXT-01-04
796,,2,[기획] D06-시설관리,,,FAC-EXT-01-05,"엑셀 다운로드
(유형별/필터별 현황 다운로드)",Z,,,,,FAC-EXT-01-05
797,,1,[기획] D11-통합운영,,,IoT-04,옷 락커 운영 관리,"Z: 관리 기능 개발
P: API 제공",,,,,IOT-04
798,,2,[기획] D11-통합운영,,,IoT-04-01,옷 락커 현황 카드,Z,,,,,IOT-04-01
799,,2,[기획] D11-통합운영,,,IoT-04-02,옷 락커 그리드,Z,,,,,IOT-04-02
800,,2,[기획] D11-통합운영,,,IoT-04-03,미배정 회원 패널,Z,,,,,IOT-04-03
801,,2,[기획] D11-통합운영,,,IoT-04-04,옷 락커 배정 (DLG-I002),Z,,,,,IOT-04-04
802,,2,[기획] D11-통합운영,,,IoT-04-05,옷 락커 회수·고장,Z,,,,,IOT-04-05
803,,2,[기획] D11-통합운영,,,IoT-04-06,고정 락커 현황 카드,Z,,,,,IOT-04-06
804,,2,[기획] D11-통합운영,,,IoT-04-07,고정 락커 유형 탭,Z,,,,,IOT-04-07
805,,2,[기획] D11-통합운영,,,IoT-04-08,고정 락커 배정,Z,,,,,IOT-04-08
806,,2,[기획] D11-통합운영,,,IoT-04-09,고정 락커 연장·회수,Z,,,,,IOT-04-09
807,,2,[기획] D11-통합운영,,,IoT-04-10,검색·필터·내보내기,Z,,,,,IOT-04-10
808,,1,[기획] D06-시설관리,,,FAC-02,사물함 배정 관리 (단기 보관용 빠른 배정),"Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-02
809,,2,[기획] D06-시설관리,,,FAC-02-01,현황 요약 카드,Z,,,,,FAC-02-01
810,,2,[기획] D06-시설관리,,,FAC-02-02,유형 탭,Z,,,,,FAC-02-02
811,,2,[기획] D06-시설관리,,,FAC-02-03,회원 배정 패널,Z,,,,,FAC-02-03
812,,2,[기획] D06-시설관리,,,FAC-02-04,사물함 그리드,Z,,,,,FAC-02-04
813,,2,[기획] D06-시설관리,,,FAC-02-05,배정 처리,Z,,,,,FAC-02-05
814,,2,[기획] D06-시설관리,,,FAC-02-06,일괄 해제,Z,,,,,FAC-02-06
815,,2,[기획] D06-시설관리,,,FAC-02-07,사물함 추가,Z,,,,,FAC-02-07
816,,2,[기획] D06-시설관리,,,FAC-02-08,엑셀 다운로드,Z,,,,,FAC-02-08
817,,1,[기획] D06-시설관리,,,FAC-03,밴드 / 카드 관리 (RFID 발급·매핑),"Z: 관리 기능 개발
P: API 제공",,,,,FAC-03
818,,2,[기획] D06-시설관리,,,FAC-03-01,현황 요약,Z,,,,,FAC-03-01
819,,2,[기획] D06-시설관리,,,FAC-03-02,검색 / 필터,Z,,,,,FAC-03-02
820,,2,[기획] D06-시설관리,,,FAC-03-03,카드 목록,Z,,,,,FAC-03-03
821,,2,[기획] D06-시설관리,,,FAC-03-04,신규 등록,Z,,,,,FAC-03-04
822,,2,[기획] D06-시설관리,,,FAC-03-05,수정,Z,,,,,FAC-03-05
823,,2,[기획] D06-시설관리,,,FAC-03-06,분실 처리,Z,,,,,FAC-03-06
824,,2,[기획] D06-시설관리,,,FAC-03-07,이력 조회,Z,,,,,FAC-03-07
825,,2,[기획] D06-시설관리,,,FAC-03-08,삭제,Z,,,,,FAC-03-08
826,,1,[기획] D06-시설관리,,,FAC-04,운동룸 관리 (룸 현황 + 예약 슬롯),"Z: 관리 기능 개발
P: API 제공",,,,,FAC-04
827,,2,[기획] D06-시설관리,,,FAC-04-01,현황 요약,Z,,,,,FAC-04-01
828,,2,[기획] D06-시설관리,,,FAC-04-02,뷰 전환,Z,,,,,FAC-04-02
829,,2,[기획] D06-시설관리,,,FAC-04-03,유형 필터,Z,,,,,FAC-04-03
830,,2,[기획] D06-시설관리,,,FAC-04-04,카드 정보,Z,,,,,FAC-04-04
831,,2,[기획] D06-시설관리,,,FAC-04-05,예약 슬롯 바,Z,,,,,FAC-04-05
832,,2,[기획] D06-시설관리,,,FAC-04-06,룸 등록,Z,,,,,FAC-04-06
833,,2,[기획] D06-시설관리,,,FAC-04-07,룸 수정,Z,,,,,FAC-04-07
834,,2,[기획] D06-시설관리,,,FAC-04-08,룸 삭제,Z,,,,,FAC-04-08
835,,2,[기획] D06-시설관리,,,FAC-04-09,운영 상태 전환,Z,,,,,FAC-04-09
836,,1,[기획] D06-시설관리,,,FAC-05,골프 타석 관리 (실시간 이용 + 대기열),"Z: 관리 기능 개발
P: API 제공",,,,,FAC-05
837,,2,[기획] D06-시설관리,,,FAC-05-01,현황 요약,Z,,,,,FAC-05-01
838,,2,[기획] D06-시설관리,,,FAC-05-02,타석 그리드,Z,,,,,FAC-05-02
839,,2,[기획] D06-시설관리,,,FAC-05-03,이용 시작,Z / P,,,,,FAC-05-03
840,,2,[기획] D06-시설관리,,,FAC-05-04,이용 종료,Z / P,,,,,FAC-05-04
841,,2,[기획] D06-시설관리,,,FAC-05-05,타석 이동,Z / P,,,,,FAC-05-05
842,,2,[기획] D06-시설관리,,,FAC-05-06,점검 처리,Z,,,,,FAC-05-06
843,,2,[기획] D06-시설관리,,,FAC-05-07,프로젝터 제어,Z / P,,,,,FAC-05-07
